"","Full_Name","Status","School_Type","Year_Closed","Year","GunRelated_Incidents"
"1","Bok Technical High School","Closed","High",2013,"2006",20
"2","L.P. Hill Elementary","Closed","Elementary",2013,"2006",33
"3","Sheridan West Middle School","Closed","Middle",2014,"2006",49
"4","Charles Carroll High School","Closed","High",2013,"2006",4
"5","John L. Kinsey Elementary","Closed","Elementary",2013,"2006",13
"6","M.H. Stanton Elementary","Closed","Elementary",2013,"2006",27
"7","Communications Technology High School","Closed","High",2014,"2006",9
"8","Joseph Leidy Elementary","Closed","Elementary",2014,"2006",4
"9","Walter Smith Elementary","Closed","Elementary",2013,"2006",31
"10","Stephen A. Douglas High school","Closed","High",2013,"2006",2
"11","Lamberton High School","Closed","High",2013,"2006",9
"12","Fairhill Elementary","Closed","Elementary",2014,"2006",16
"13","George Wharton Pepper Middle School","Closed","Middle",2013,"2006",2
"14","Vaux High School","Closed","High",2013,"2006",10
"15","Joseph C.  Ferguson Elementary","Closed","Elementary",2014,"2006",16
"16","Anna B Pratt Elementary","Closed","Elementary",2014,"2006",19
"17","George Washington Elementary","Closed","Elementary",2013,"2006",8
"18","Robert Fulton Elementary","Closed","Elementary",2013,"2006",14
"19","General John F. Reynolds Elementary","Closed","Elementary",2013,"2006",22
"20","John Greenleaf Whittier Elementary","Closed","Elementary",2013,"2006",15
"21","Germantown High School","Closed","High",2013,"2006",10
"22","Anna H Shaw Middle School","Closed","Middle",2014,"2006",18
"23","Alexander Wilson Elementary","Closed","Elementary",2013,"2006",3
"24","University City High School","Closed","High",2013,"2006",2
"25","Harrison Elementary","Closed","Elementary",2012,"2006",16
"26","Charles R. Drew Elementary","Closed","Elementary",2012,"2006",2
"27","William Levering Elementary","Closed","Elementary",2012,"2006",6
"28","Philadelphia High School for Business and Technology","Closed","High",2012,"2006",10
"29","Rhodes High School","Closed","High",2012,"2006",9
"30","Thomas FitzSimons High School","Closed","High",2012,"2006",14
"31","Bok Technical High School","Closed","High",2013,"2007",15
"32","L.P. Hill Elementary","Closed","Elementary",2013,"2007",19
"33","Sheridan West Middle School","Closed","Middle",2014,"2007",30
"34","Charles Carroll High School","Closed","High",2013,"2007",2
"35","John L. Kinsey Elementary","Closed","Elementary",2013,"2007",13
"36","M.H. Stanton Elementary","Closed","Elementary",2013,"2007",22
"37","Communications Technology High School","Closed","High",2014,"2007",1
"38","Joseph Leidy Elementary","Closed","Elementary",2014,"2007",4
"39","Walter Smith Elementary","Closed","Elementary",2013,"2007",13
"40","Stephen A. Douglas High school","Closed","High",2013,"2007",3
"41","Lamberton High School","Closed","High",2013,"2007",4
"42","Fairhill Elementary","Closed","Elementary",2014,"2007",14
"43","George Wharton Pepper Middle School","Closed","Middle",2013,"2007",2
"44","Vaux High School","Closed","High",2013,"2007",15
"45","Joseph C.  Ferguson Elementary","Closed","Elementary",2014,"2007",13
"46","Anna B Pratt Elementary","Closed","Elementary",2014,"2007",34
"47","George Washington Elementary","Closed","Elementary",2013,"2007",3
"48","Robert Fulton Elementary","Closed","Elementary",2013,"2007",12
"49","General John F. Reynolds Elementary","Closed","Elementary",2013,"2007",19
"50","John Greenleaf Whittier Elementary","Closed","Elementary",2013,"2007",19
"51","Germantown High School","Closed","High",2013,"2007",6
"52","Anna H Shaw Middle School","Closed","Middle",2014,"2007",23
"53","Alexander Wilson Elementary","Closed","Elementary",2013,"2007",11
"54","University City High School","Closed","High",2013,"2007",3
"55","Harrison Elementary","Closed","Elementary",2012,"2007",6
"56","Charles R. Drew Elementary","Closed","Elementary",2012,"2007",3
"57","William Levering Elementary","Closed","Elementary",2012,"2007",2
"58","Philadelphia High School for Business and Technology","Closed","High",2012,"2007",10
"59","Rhodes High School","Closed","High",2012,"2007",6
"60","Thomas FitzSimons High School","Closed","High",2012,"2007",16
"61","Bok Technical High School","Closed","High",2013,"2008",18
"62","L.P. Hill Elementary","Closed","Elementary",2013,"2008",24
"63","Sheridan West Middle School","Closed","Middle",2014,"2008",31
"64","Charles Carroll High School","Closed","High",2013,"2008",0
"65","John L. Kinsey Elementary","Closed","Elementary",2013,"2008",6
"66","M.H. Stanton Elementary","Closed","Elementary",2013,"2008",22
"67","Communications Technology High School","Closed","High",2014,"2008",10
"68","Joseph Leidy Elementary","Closed","Elementary",2014,"2008",7
"69","Walter Smith Elementary","Closed","Elementary",2013,"2008",22
"70","Stephen A. Douglas High school","Closed","High",2013,"2008",3
"71","Lamberton High School","Closed","High",2013,"2008",5
"72","Fairhill Elementary","Closed","Elementary",2014,"2008",21
"73","George Wharton Pepper Middle School","Closed","Middle",2013,"2008",2
"74","Vaux High School","Closed","High",2013,"2008",6
"75","Joseph C.  Ferguson Elementary","Closed","Elementary",2014,"2008",7
"76","Anna B Pratt Elementary","Closed","Elementary",2014,"2008",23
"77","George Washington Elementary","Closed","Elementary",2013,"2008",7
"78","Robert Fulton Elementary","Closed","Elementary",2013,"2008",5
"79","General John F. Reynolds Elementary","Closed","Elementary",2013,"2008",11
"80","John Greenleaf Whittier Elementary","Closed","Elementary",2013,"2008",12
"81","Germantown High School","Closed","High",2013,"2008",4
"82","Anna H Shaw Middle School","Closed","Middle",2014,"2008",25
"83","Alexander Wilson Elementary","Closed","Elementary",2013,"2008",6
"84","University City High School","Closed","High",2013,"2008",2
"85","Harrison Elementary","Closed","Elementary",2012,"2008",15
"86","Charles R. Drew Elementary","Closed","Elementary",2012,"2008",7
"87","William Levering Elementary","Closed","Elementary",2012,"2008",0
"88","Philadelphia High School for Business and Technology","Closed","High",2012,"2008",5
"89","Rhodes High School","Closed","High",2012,"2008",6
"90","Thomas FitzSimons High School","Closed","High",2012,"2008",20
"91","Bok Technical High School","Closed","High",2013,"2009",21
"92","L.P. Hill Elementary","Closed","Elementary",2013,"2009",14
"93","Sheridan West Middle School","Closed","Middle",2014,"2009",24
"94","Charles Carroll High School","Closed","High",2013,"2009",1
"95","John L. Kinsey Elementary","Closed","Elementary",2013,"2009",12
"96","M.H. Stanton Elementary","Closed","Elementary",2013,"2009",17
"97","Communications Technology High School","Closed","High",2014,"2009",5
"98","Joseph Leidy Elementary","Closed","Elementary",2014,"2009",7
"99","Walter Smith Elementary","Closed","Elementary",2013,"2009",12
"100","Stephen A. Douglas High school","Closed","High",2013,"2009",0
"101","Lamberton High School","Closed","High",2013,"2009",8
"102","Fairhill Elementary","Closed","Elementary",2014,"2009",16
"103","George Wharton Pepper Middle School","Closed","Middle",2013,"2009",2
"104","Vaux High School","Closed","High",2013,"2009",3
"105","Joseph C.  Ferguson Elementary","Closed","Elementary",2014,"2009",7
"106","Anna B Pratt Elementary","Closed","Elementary",2014,"2009",16
"107","George Washington Elementary","Closed","Elementary",2013,"2009",4
"108","Robert Fulton Elementary","Closed","Elementary",2013,"2009",14
"109","General John F. Reynolds Elementary","Closed","Elementary",2013,"2009",14
"110","John Greenleaf Whittier Elementary","Closed","Elementary",2013,"2009",10
"111","Germantown High School","Closed","High",2013,"2009",16
"112","Anna H Shaw Middle School","Closed","Middle",2014,"2009",15
"113","Alexander Wilson Elementary","Closed","Elementary",2013,"2009",3
"114","University City High School","Closed","High",2013,"2009",3
"115","Harrison Elementary","Closed","Elementary",2012,"2009",15
"116","Charles R. Drew Elementary","Closed","Elementary",2012,"2009",7
"117","William Levering Elementary","Closed","Elementary",2012,"2009",3
"118","Philadelphia High School for Business and Technology","Closed","High",2012,"2009",1
"119","Rhodes High School","Closed","High",2012,"2009",12
"120","Thomas FitzSimons High School","Closed","High",2012,"2009",4
"121","Bok Technical High School","Closed","High",2013,"2010",18
"122","L.P. Hill Elementary","Closed","Elementary",2013,"2010",18
"123","Sheridan West Middle School","Closed","Middle",2014,"2010",30
"124","Charles Carroll High School","Closed","High",2013,"2010",1
"125","John L. Kinsey Elementary","Closed","Elementary",2013,"2010",6
"126","M.H. Stanton Elementary","Closed","Elementary",2013,"2010",20
"127","Communications Technology High School","Closed","High",2014,"2010",2
"128","Joseph Leidy Elementary","Closed","Elementary",2014,"2010",4
"129","Walter Smith Elementary","Closed","Elementary",2013,"2010",11
"130","Stephen A. Douglas High school","Closed","High",2013,"2010",3
"131","Lamberton High School","Closed","High",2013,"2010",6
"132","Fairhill Elementary","Closed","Elementary",2014,"2010",22
"133","George Wharton Pepper Middle School","Closed","Middle",2013,"2010",1
"134","Vaux High School","Closed","High",2013,"2010",15
"135","Joseph C.  Ferguson Elementary","Closed","Elementary",2014,"2010",7
"136","Anna B Pratt Elementary","Closed","Elementary",2014,"2010",28
"137","George Washington Elementary","Closed","Elementary",2013,"2010",7
"138","Robert Fulton Elementary","Closed","Elementary",2013,"2010",12
"139","General John F. Reynolds Elementary","Closed","Elementary",2013,"2010",16
"140","John Greenleaf Whittier Elementary","Closed","Elementary",2013,"2010",11
"141","Germantown High School","Closed","High",2013,"2010",10
"142","Anna H Shaw Middle School","Closed","Middle",2014,"2010",19
"143","Alexander Wilson Elementary","Closed","Elementary",2013,"2010",5
"144","University City High School","Closed","High",2013,"2010",5
"145","Harrison Elementary","Closed","Elementary",2012,"2010",9
"146","Charles R. Drew Elementary","Closed","Elementary",2012,"2010",5
"147","William Levering Elementary","Closed","Elementary",2012,"2010",0
"148","Philadelphia High School for Business and Technology","Closed","High",2012,"2010",6
"149","Rhodes High School","Closed","High",2012,"2010",3
"150","Thomas FitzSimons High School","Closed","High",2012,"2010",14
"151","Bok Technical High School","Closed","High",2013,"2011",12
"152","L.P. Hill Elementary","Closed","Elementary",2013,"2011",7
"153","Sheridan West Middle School","Closed","Middle",2014,"2011",31
"154","Charles Carroll High School","Closed","High",2013,"2011",0
