"Full_Name","Full_Address","Street_Number","City","ZIP","Status","Year_Closed","School_Type","arcgis_address","score","location.x","location.y","extent.xmin","extent.ymin","extent.xmax","extent.ymax","geometry","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Bok Technical High School","1901 S 9th St, Philadelphia, PA 19148","1901 S 9th St","Philadelphia","19148","Closed","2013","High","1901 S 9th St, Philadelphia, Pennsylvania, 19148","100",-75.16006720027,39.925317391718,"-75.16106720027","39.924317391718","-75.15906720027","39.926317391718","c(-75.16006720027","20","15","18","21","18","12","6","10","4","6","3","6","10","7","5","4","6","7","7"
"L.P. Hill Elementary","3133 Ridge Ave, Philadelphia, PA 19121","3133 Ridge Ave #2","Philadelphia","19121","Closed","2013","Elementary","3133 Ridge Ave, Philadelphia, Pennsylvania, 19121","100",-75.184022092812,39.990659900937,"-75.185022092812","39.989659900937","-75.183022092812","39.991659900937","c(-75.184022092812","33","19","24","14","18","7","15","12","9","8","6","11","15","12","19","20","30","16","9"
"Sheridan West Middle School","3807 N Broad St, Philadelphia, PA 19140","3807 N Broad St","Philadelphia","19140","Closed","2014","Middle","3807 N Broad St, Philadelphia, Pennsylvania, 19140","100",-75.150729522964,40.011029494697,"-75.151729522964","40.010029494697","-75.149729522964","40.012029494697","c(-75.150729522964","49","30","31","24","30","31","26","29","31","28","26","23","22","25","22","32","24","29","13"
"Charles Carroll High School","2700 E Auburn St, Philadelphia, PA 19134","2700 E Auburn St","Philadelphia","19134","Closed","2013","High","2700 E Auburn St, Philadelphia, Pennsylvania, 19134","100",-75.110408195812,39.979650187297,"-75.111408195812","39.978650187297","-75.109408195812","39.980650187297","c(-75.110408195812","4","2","0","1","1","0","4","2","0","2","2","3","0","1","3","2","5","3","1"
"John L. Kinsey Elementary","6501 Limekiln Pike, Philadelphia, PA 19138","6501 Limekiln Pike","Philadelphia","19138","Closed","2013","Elementary","6501 Limekiln Pike, Philadelphia, Pennsylvania, 19138","100",-75.15243103502,40.053647221091,"-75.15343103502","40.052647221091","-75.15143103502","40.054647221091","c(-75.15243103502","13","13","6","12","6","7","6","7","7","5","8","6","7","10","13","7","8","7","12"
"M.H. Stanton Elementary","2539 N 16th St, Philadelphia, PA 19132","2539 N 16th St","Philadelphia","19132","Closed","2013","Elementary","2539 N 16th St, Philadelphia, Pennsylvania, 19132","100",-75.15820228587,39.992270623602,"-75.15920228587","39.991270623602","-75.15720228587","39.993270623602","c(-75.15820228587","27","22","22","17","20","10","20","10","19","31","34","21","22","18","29","34","26","25","27"
"Communications Technology High School","8110 Lyons Ave, Philadelphia, PA 19153","8110 Lyons Ave","Philadelphia","19153","Closed","2014","High","8110 Lyons Ave, Philadelphia, Pennsylvania, 19153","100",-75.246883489124,39.89814012313,"-75.247883489124","39.89714012313","-75.245883489124","39.89914012313","c(-75.246883489124","9","1","10","5","2","1","3","5","2","1","3","4","1","1","2","1","6","4","1"
"Joseph Leidy Elementary","1301 Belmont Ave, Philadelphia, PA 19104","1301 Belmont Ave #675","Philadelphia","19104","Closed","2014","Elementary","1301 Belmont Ave, Philadelphia, Pennsylvania, 19104","100",-75.212641363137,39.974986892755,"-75.213641363137","39.973986892755","-75.211641363137","39.975986892755","c(-75.212641363137","4","4","7","7","4","1","0","2","1","2","1","3","2","1","4","4","3","5","11"
"Walter Smith Elementary","1334 S 19th St, Philadelphia, PA 19146","1334 S 19th St","Philadelphia","19146","Closed","2013","Elementary","1334 S 19th St, Philadelphia, Pennsylvania, 19146","100",-75.175853341434,39.934510327845,"-75.176853341434","39.933510327845","-75.174853341434","39.935510327845","c(-75.175853341434","31","13","22","12","11","11","12","7","12","16","12","4","3","1","2","6","3","2","1"
"Stephen A. Douglas High school","2700 E Huntingdon St, Philadelphia, PA 19125","2700 E Huntingdon St","Philadelphia","19125","Closed","2013","High","2700 E Huntingdon St, Philadelphia, Pennsylvania, 19125","100",-75.117062504923,39.976325295855,"-75.118062504923","39.975325295855","-75.116062504923","39.977325295855","c(-75.117062504923","2","3","3","0","3","5","2","3","0","0","1","2","0","3","2","3","10","5","2"
"Lamberton High School","7501 Woodbine Ave, Philadelphia, PA 19151","7501 Woodbine Ave","Philadelphia","19151","Closed","2013","High","7501 Woodbine Ave, Philadelphia, Pennsylvania, 19151","100",-75.266783998938,39.97542101423,"-75.267783998938","39.97442101423","-75.265783998938","39.97642101423","c(-75.266783998938","9","4","5","8","6","6","6","4","2","5","6","8","7","2","1","9","7","3","6"
"Fairhill Elementary","601 W Somerset St, Philadelphia, PA 19133","601 W Somerset St","Philadelphia","19133","Closed","2014","Elementary","601 W Somerset St, Philadelphia, Pennsylvania, 19133","100",-75.142478421672,39.994081926258,"-75.143478421672","39.993081926258","-75.141478421672","39.995081926258","c(-75.142478421672","16","14","21","16","22","22","12","21","17","14","13","11","17","15","23","16","16","19","24"
"George Wharton Pepper Middle School","2901 South 84th St, Philadelphia, PA 19153","2901 South 84th St","Philadelphia","19153","Closed","2013","Middle","2901 S 84th St, Philadelphia, Pennsylvania, 19153","100",-75.249535597945,39.896363285966,"-75.250535597945","39.895363285966","-75.248535597945","39.897363285966","c(-75.249535597945","2","2","2","2","1","1","3","2","0","1","0","0","1","0","3","2","2","0","1"
"Vaux High School","2300 Master St, Philadelphia, PA 19121","2300 Master St","Philadelphia","19121","Closed","2013","High","2300 W Master St, Philadelphia, Pennsylvania, 19121","99.55",-75.174218870315,39.976059002791,"-75.175218870315","39.975059002791","-75.173218870315","39.977059002791","c(-75.174218870315","10","15","6","3","15","7","7","5","9","9","5","10","7","11","10","12","14","12","8"
"Joseph C.  Ferguson Elementary","2000 N 7th St, Philadelphia, PA 19122","2000 N 7th St","Philadelphia","19122","Closed","2014","Elementary","2000 N 7th St, Philadelphia, Pennsylvania, 19122","100",-75.146239742239,39.982244470148,"-75.147239742239","39.981244470148","-75.145239742239","39.983244470148","c(-75.146239742239","16","13","7","7","7","13","10","8","7","8","5","6","10","5","11","15","12","11","11"
"Anna B Pratt Elementary","2200 N 22nd St, Philadelphia, PA 19132","2200 N 22nd St","Philadelphia","19132","Closed","2014","Elementary","2200 N 22nd St, Philadelphia, Pennsylvania, 19132","100",-75.169774533794,39.988678335207,"-75.170774533794","39.987678335207","-75.168774533794","39.989678335207","c(-75.169774533794","19","34","23","16","28","21","31","17","17","16","21","13","15","12","22","16","16","16","11"
"George Washington Elementary","1198 S. 5th St, Philadelphia, PA 19147","1198 S. 5th St","Philadelphia","19147","Closed","2013","Elementary","1198 S 5th St, Philadelphia, Pennsylvania, 19147","100",-75.152763964214,39.933593012362,"-75.153763964214","39.932593012362","-75.151763964214","39.934593012362","c(-75.152763964214","8","3","7","4","7","4","10","6","10","9","6","2","2","7","1","3","10","7","1"
"Robert Fulton Elementary","60 E Haines St, Philadelphia, PA 19144","60 E Haines St","Philadelphia","19144","Closed","2013","Elementary","60 E Haines St, Philadelphia, Pennsylvania, 19144","100",-75.175126211334,40.039636241291,"-75.176126211334","40.038636241291","-75.174126211334","40.040636241291","c(-75.175126211334","14","12","5","14","12","11","8","4","8","6","5","11","8","10","8","5","2","7","6"
"General John F. Reynolds Elementary","2300 Jefferson St, Philadelphia, PA 19121","2300 Jefferson St","Philadelphia","19121","Closed","2013","Elementary","2300 W Jefferson St, Philadelphia, Pennsylvania, 19121","99.55",-75.174159023526,39.97767528518,"-75.175159023526","39.97667528518","-75.173159023526","39.97867528518","c(-75.174159023526","22","19","11","14","16","17","14","13","11","17","8","14","9","11","6","10","16","17","6"
"John Greenleaf Whittier Elementary","2600 W Clearfield St, Philadelphia, PA 19132","2600 W Clearfield St","Philadelphia","19132","Closed","2013","Elementary","2600 W Clearfield St, Philadelphia, Pennsylvania, 19132","100",-75.173732636112,40.00233505387,"-75.174732636112","40.00133505387","-75.172732636112","40.00333505387","c(-75.173732636112","15","19","12","10","11","8","4","8","13","14","17","10","10","7","13","14","15","16","13"
"Germantown High School","40 High St, Philadelphia, PA 19144","40 High St","Philadelphia","19144","Closed","2013","High","40 High St, Philadelphia, Pennsylvania, 19144","100",-75.177190204671,40.039864869564,"-75.178190204671","40.038864869564","-75.176190204671","40.040864869564","c(-75.177190204671","10","6","4","16","10","6","9","7","10","4","3","4","7","5","4","2","2","6","2"
"Anna H Shaw Middle School","5400 Warrington Ave, Philadelphia, PA 19143","5400 Warrington Ave","Philadelphia","19143","Closed","2014","Middle","5400 Warrington Ave, Philadelphia, Pennsylvania, 19143","100",-75.225537885887,39.941784014154,"-75.226537885887","39.940784014154","-75.224537885887","39.942784014154","c(-75.225537885887","18","23","25","15","19","25","15","19","12","9","16","10","7","11","22","14","14","12","9"
